TestName,MetricName,Value,Unit,ExtractedAt
EmbeddedBatchOperationThroughput,batch_write_10_latency,4.333696,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_10_throughput,2307.499188,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_10_bandwidth,0.563354,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_10_latency,0.675758,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_10_throughput,14798.196988,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_10_bandwidth,3.612841,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_50_latency,0.279348,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_50_throughput,178988.215416,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_50_bandwidth,43.698295,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_50_latency,0.292415,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_50_throughput,170989.860301,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_50_bandwidth,41.745571,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_100_latency,0.461146,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_100_throughput,216851.062353,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_100_bandwidth,52.942154,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_100_latency,0.473311,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_100_throughput,211277.574364,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_100_bandwidth,51.581439,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_500_latency,1.419209,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_500_throughput,352308.927015,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_500_bandwidth,86.012922,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_500_latency,1.592950,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_500_throughput,313883.047177,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_500_bandwidth,76.631603,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_1000_latency,1.961164,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_1000_throughput,509901.262719,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_write_1000_bandwidth,124.487613,MB/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_1000_latency,1.482623,ms,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_1000_throughput,674480.296070,ops/sec,2025-07-08 08:20:23
EmbeddedBatchOperationThroughput,batch_get_1000_bandwidth,164.668041,MB/sec,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,put_avg_latency,0.044469,ms,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,put_min_latency,0.025651,ms,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,put_max_latency,0.614610,ms,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,put_throughput,22487.172586,ops/sec,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,get_avg_latency,0.041776,ms,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,get_min_latency,0.022224,ms,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,get_max_latency,1.265882,ms,2025-07-08 08:20:23
EmbeddedSingleOperationLatency,get_throughput,23937.170481,ops/sec,2025-07-08 08:20:23
EmbeddedPerformanceReport,max_memory,1024.000000,MB,2025-07-08 08:20:23
EmbeddedPerformanceReport,used_memory,71.000000,MB,2025-07-08 08:20:23
EmbeddedPerformanceReport,available_processors,8.000000,count,2025-07-08 08:20:23
